a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,d5,d6,e1,e2,e3,e4,e5,e6,f1,f2,f3,f4,f5,f6,g1,g2,g3,g4,g5,g6,winner,win1,win2,r1p1,r2p1,r3p1,r4p1,r5p1,r6p1,r1p2,r2p2,r3p2,r4p2,r5p2,r6p2,c1p1,c2p1,c3p1,c4p1,c5p1,c6p1,c7p1,c1p2,c2p2,c3p2,c4p2,c5p2,c6p2,c7p2,nbr1,nbr2,nbr3,nbr4,nc2p1,nc2p2,nc3p1,nc3p2
1,2,1,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 0, 3, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, -2, -4, -4, -6, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, -5, -12, -23, -30, 1, 2, -1, -1
2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 2, 2, 1, 2, -1, -1
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, -5, -14, -23, -28, 1, -1, -1, -1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 2, 6, 8, 1, 2, -1, -1
0,0,0,0,0,0,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 2, 6, 10, 14, 1, -1, -1, -1
0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 2, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 3, 4, 9, 10, 1, 2, -1, -1
2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 3, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 4, 10, 20, 26, 1, 2, -1, -1
1,0,0,0,0,0,2,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, -3, -6, -9, -10, 1, 2, -1, -1
0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 5, 12, 17, 1, 2, -1, -1
2,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 4, 12, 20, 28, 1, 2, -1, -1
1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, -3, -11, -19, -25, 1, 2, -1, -1
0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 6, 12, 16, 1, 2, -1, -1
0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,-1, -1, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, -5, -10, -15, -20, -1, 2, -1, -1
0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, -11, -22, -33, -44, 1, 2, -1, -1
0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 3, 9, 17, 22, 1, 2, -1, -1
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,-1, -1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 2, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, -7, -18, -33, -44, 1, 2, -1, -1
0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, -2, -6, -8, -12, 1, 2, -1, -1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, -1, 0, 3, 4, 1, 2, -1, -1
2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 3, 0, 0, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 5, 11, 19, 27, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,2,0,0,0,0,0,2,-1, -1, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1, -3, -6, -11, -14, -1, 2, -1, -1
0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 5, 16, 31, 42, 1, 2, 1, -1
2,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 3, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 6, 13, 18, 1, 2, -1, -1
0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, -2, -8, -10, 1, 2, -1, -1
2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 2, 1, 0, 2, 1, 0, 0, 0, -6, -19, -34, -45, 1, 2, -1, -1
2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 3, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 3, 4, 5, 6, 1, 2, -1, -1
0,0,0,0,0,0,2,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, -8, -18, -28, -36, 1, 2, -1, -1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, -8, -23, -40, -52, 1, 2, -1, -1
1,0,0,0,0,0,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 2, 1, 0, 2, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, -7, -15, -23, -29, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, -11, -27, -45, -59, 1, 2, -1, -1
1,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, -2, -6, -8, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, -2, -2, -2, -4, 1, 2, -1, -1
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, -3, -7, -9, -12, 1, 2, -1, -1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 2, 4, 2, 4, 1, 2, -1, -1
0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 8, 17, 26, 35, 1, -1, -1, -1
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,-1, -1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 2, 0, 1, 5, 12, 19, 26, 1, -1, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,2,-1, -1, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 3, 0, 0, -2, -2, 1, 2, -1, -1
1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 2, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, -2, 0, 2, 4, 1, 2, -1, -1
0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 3, 12, 21, 30, 1, 2, 1, -1
1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, -2, -2, -2, -6, 1, 2, -1, -1
0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 2, 4, 10, 12, 1, 2, -1, -1
2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, -6, -17, -28, -37, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, -5, -12, -21, -28, 1, 2, -1, -1
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 2, 6, 8, 1, 2, 1, -1
2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1, 7, 21, 37, 49, 1, 2, -1, -1
1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,-1, -1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3, 1, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, -7, -14, -23, -32, 1, 2, -1, -1
2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 2, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 8, 20, 32, 44, 1, 2, -1, -1
0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-1, -1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 0, 3, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, -6, -10, -14, 1, 2, -1, -1
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 5, 11, 16, 1, 2, -1, -1
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 4, 12, 24, 32, 1, 2, -1, -1
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,1,-1, -1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 2, 2, 4, 6, 6, 1, 2, 1, 2
0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, -1, -1
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 0, 3, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 3, 0, -4, -6, -8, -10, 1, 2, -1, -1
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 2, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, -5, -16, -29, -40, 1, 2, -1, -1
1,0,0,0,0,0,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,-1, -1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, -1, 0, 1, -2, 1, 2, -1, -1
0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 3, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 5, 14, 27, 36, 1, 2, 1, -1
0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,-1, -1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 1, 0, 3, 6, 9, 12, 1, 2, -1, -1
0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,-1, -1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, -1, -2, -3, -4, 1, 2, -1, -1
